id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
1,1,Bulbasaur,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,15.2 lbs.,"2'04""",,,Seed Pokémon,0.875,0.125,,Monster,Grass
2,2,Ivysaur,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,28.7 lbs.,"3'03""",,,Seed Pokémon,0.875,0.125,Bulbasaur,Monster,Grass
3,3,Venusaur,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,220.5 lbs.,"6'07""",,,Seed Pokémon,0.875,0.125,Ivysaur,Monster,Grass
4,4,Charmander,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,18.7 lbs.,"2'00""",,,Lizard Pokémon,0.875,0.125,,Monster,Dragon
5,5,Charmeleon,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,41.9 lbs.,"3'07""",,,Flame Pokémon,0.875,0.125,Charmander,Monster,Dragon
6,6,Charizard,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,534,199.5 lbs.,"5'07""",,,Flame Pokémon,0.875,0.125,Charmeleon,Monster,Dragon
7,7,Squirtle,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,314,19.8 lbs.,"1'08""",,,Tiny Turtle Pokémon,0.875,0.125,,Monster,Water 1
8,8,Wartortle,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,405,49.6 lbs.,"3'03""",,,Turtle Pokémon,0.875,0.125,Squirtle,Monster,Water 1
9,9,Blastoise,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,530,188.5 lbs.,"5'03""",,,Shellfish Pokémon,0.875,0.125,Wartortle,Monster,Water 1
10,10,Caterpie,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,195,6.4 lbs.,"1'00""","When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",Worm Pokémon,0.5,0.5,,Bug,
11,11,Metapod,Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,205,21.8 lbs.,"2'04""",Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided.",Cocoon Pokémon,0.5,0.5,Caterpie,Bug,
12,12,Butterfree,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,395,70.5 lbs.,"3'07""",Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.",Butterfly Pokémon,0.5,0.5,Metapod,Bug,
13,13,Weedle,Weedle,Bug,Poison,Shield Dust,,Run Away,40,35,30,20,20,50,195,7.1 lbs.,"1'00""",,,Hairy Bug Pokémon,0.5,0.5,,Bug,
14,14,Kakuna,Kakuna,Bug,Poison,Shed Skin,Shed Skin,,45,25,50,25,25,35,205,22.0 lbs.,"2'00""",,,Cocoon Pokémon,0.5,0.5,Weedle,Bug,
15,15,Beedrill,Beedrill,Bug,Poison,Swarm,Swarm,Sniper,65,90,40,45,80,75,395,65.0 lbs.,"3'03""",,,Poison Bee Pokémon,0.5,0.5,Kakuna,Bug,
16,16,Pidgey,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,4.0 lbs.,"1'00""",,,Tiny Bird Pokémon,0.5,0.5,,Flying,
17,17,Pidgeotto,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,66.1 lbs.,"3'07""",,,Bird Pokémon,0.5,0.5,Pidgey,Flying,
18,18,Pidgeot,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,87.1 lbs.,"4'11""",,,Bird Pokémon,0.5,0.5,Pidgeotto,Flying,
19,19,Rattata,Rattata,Normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,7.7 lbs.,"1'00""","Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.","With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.",Mouse Pokémon,0.5,0.5,,Field,
20,20,Raticate,Raticate,Normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,40.8 lbs.,"2'04""","Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans.","Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face, as it could bite your hand clean off.",Mouse Pokémon,0.5,0.5,Rattata,Field,
21,21,Spearow,Spearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,40,60,30,31,31,70,262,4.4 lbs.,"1'00""",Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.,Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.,Tiny Bird Pokémon,0.5,0.5,,Flying,
22,22,Fearow,Fearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,65,90,65,61,61,100,442,83.8 lbs.,"3'11""",It’s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.,Beak Pokémon,0.5,0.5,Spearow,Flying,
23,23,Ekans,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,15.2 lbs.,"6'07""",,,Snake Pokémon,0.5,0.5,,Field,Dragon
24,24,Arbok,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,143.3 lbs.,"11'06""",,,Cobra Pokémon,0.5,0.5,Ekans,Field,Dragon
25,25,Pikachu,Pikachu,Electric,,Static,Static,Lightning Rod,35,55,40,50,50,90,320,13.2 lbs.,"1'04""",A plan was recently announced to gather many Pikachu and make an electric power plant.,It’s in its nature to store electricity. It feels stressed now and then if it’s unable to fully discharge the electricity.,Mouse Pokémon,0.5,0.5,Pichu,Field,Fairy
26,26,Raichu,Raichu,Electric,,Static,Static,Lightning Rod,60,90,55,90,80,110,485,66.1 lbs.,"2'07""","It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.","It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.",Mouse Pokémon,0.5,0.5,Pikachu,Field,Fairy
27,27,Sandshrew,Sandshrew,Ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,300,26.5 lbs.,"2'00""",It can roll its body into a ball. It moves through the desert by rolling at high speeds.,"It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon.",Mouse Pokémon,0.5,0.5,,Field,
28,28,Sandslash,Sandslash,Ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,450,65.0 lbs.,"3'03""","Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.","It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.",Mouse Pokémon,0.5,0.5,Sandshrew,Field,
29,29,Nidoran♀,Nidoran♀,Poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,15.4 lbs.,"1'04""",,,Poison Pin Pokémon,0,1,,Monster,Field
30,30,Nidorina,Nidorina,Poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,44.1 lbs.,"2'07""",,,Poison Pin Pokémon,0,1,Nidoran♀,Undiscovered,
31,31,Nidoqueen,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,132.3 lbs.,"4'03""",,,Drill Pokémon,0,1,Nidorina,Undiscovered,
32,32,Nidoran♂,Nidoran♂,Poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,19.8 lbs.,"1'08""",,,Poison Pin Pokémon,1,0,,Monster,Field
33,33,Nidorino,Nidorino,Poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,43.0 lbs.,"2'11""",,,Poison Pin Pokémon,1,0,Nidoran♂,Monster,Field
34,34,Nidoking,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,136.7 lbs.,"4'07""",,,Drill Pokémon,1,0,Nidorino,Monster,Field
35,35,Clefairy,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,16.5 lbs.,"2'00""","Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.","On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",Fairy Pokémon,0.25,0.75,Cleffa,Fairy,
36,36,Clefable,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,88.2 lbs.,"4'03""",They don’t like to reveal themselves in front of people. They live quietly in packs deep in the mountains.,"According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.",Fairy Pokémon,0.25,0.75,Clefairy,Fairy,
37,37,Vulpix,Vulpix,Fire,,Flash Fire,,Drought,38,41,40,50,65,65,299,21.8 lbs.,"2'00""","Its beautiful fur and tails have made it very popular. As it grows, its tails split to form more tails.",From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.,Fox Pokémon,0.25,0.75,,Field,
38,38,Ninetales,Ninetales,Fire,,Flash Fire,,Drought,73,76,75,81,100,100,505,43.9 lbs.,"3'07""",Legend has it that this mystical Pokémon was formed when nine saints coalesced into one.,"Said to live for a thousand years, this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.",Fox Pokémon,0.25,0.75,Vulpix,Field,
39,39,Jigglypuff,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,12.1 lbs.,"1'08""","It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you’ll become sleepy right away.","Jigglypuff possess a vocal range that exceeds 12 octaves, but each individual’s singing skill depends on its own effort.",Balloon Pokémon,0.25,0.75,Igglybuff,Fairy,
40,40,Wigglytuff,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,26.5 lbs.,"3'03""",It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.,"As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.",Balloon Pokémon,0.25,0.75,Jigglypuff,Fairy,
41,41,Zubat,Zubat,Poison,Flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,245,16.5 lbs.,"2'07""","It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.","When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.",Bat Pokémon,0.5,0.5,,Flying,
42,42,Golbat,Golbat,Poison,Flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,455,121.3 lbs.,"5'03""","Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.","Sometimes they drink so much blood, they can’t fly anymore. Then they fall to the ground and become food for other Pokémon.",Bat Pokémon,0.5,0.5,Zubat,Flying,
43,43,Oddish,Oddish,Grass,Poison,Chlorophyll,,Run Away,45,50,55,75,65,30,320,11.9 lbs.,"1'08""",,,Weed Pokémon,0.5,0.5,,Grass,
44,44,Gloom,Gloom,Grass,Poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,19.0 lbs.,"2'07""",,,Weed Pokémon,0.5,0.5,Oddish,Grass,
45,45,Vileplume,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,490,41.0 lbs.,"3'11""",,,Flower Pokémon,0.5,0.5,Gloom,Grass,
46,46,Paras,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,11.9 lbs.,"1'00""","No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,Mushroom Pokémon,0.5,0.5,,Bug,Grass
47,47,Parasect,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,65.0 lbs.,"3'03""",The large mushroom on its back controls it. It often fights over territory with Shiinotic.,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.",Mushroom Pokémon,0.5,0.5,Paras,Bug,Grass
48,48,Venonat,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,66.1 lbs.,"3'03""",,,Insect Pokémon,0.5,0.5,,Bug,
49,49,Venomoth,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,27.6 lbs.,"4'11""",,,Poison Moth Pokémon,0.5,0.5,Venonat,Bug,
50,50,Diglett,Diglett,Ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1.8 lbs.,"0'08""",It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.,Mole Pokémon,0.5,0.5,,Field,
51,51,Dugtrio,Dugtrio,Ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,73.4 lbs.,"2'04""",This set of triplets moves cooperatively. It’s the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.,"Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground.",Mole Pokémon,0.5,0.5,Diglett,Field,
52,52,Meowth,Meowth,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,9.3 lbs.,"1'04""","It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.",It loves shiny things. It often fights with Murkrow over prey they’re both trying to catch.,Scratch Cat Pokémon,0.5,0.5,,Field,
53,53,Persian,Persian,Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,70.5 lbs.,"3'03""",It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.,"It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon.",Classy Cat Pokémon,0.5,0.5,Meowth,Field,
54,54,Psyduck,Psyduck,Water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,43.2 lbs.,"2'07""","As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.","This Pokémon is troubled by constant headaches. The more pain it’s in, the more powerful its psychokinesis becomes.",Duck Pokémon,0.5,0.5,,Water 1,Field
